[2026-05-25 15:25:17] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:18] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:25:18] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:25:19] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:19] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:19] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:20] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:20] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:20] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:21] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=CLEAR
[2026-05-25 15:25:21] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=CLEAR
[2026-05-25 15:25:22] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:22] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:22] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:23] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:23] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:23] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:24] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:24] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:25] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:25] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:25] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:26] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:26] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:26] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:27] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:27] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:28] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:28] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:28] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:29] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:29] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:29] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:30] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:30] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:31] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:31] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:31] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:32] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:32] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:32] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:33] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:33] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:34] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:34] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:34] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:35] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:35] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:36] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:36] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:36] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:37] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:37] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:37] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:38] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:38] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:39] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=KNOWN
[2026-05-25 15:25:39] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:25:39] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:25:40] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:25:40] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:25:41] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=CLEAR
[2026-05-25 15:25:41] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=CLEAR
[2026-05-25 15:35:45] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:46] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:47] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:48] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:49] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:50] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:51] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:51] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:52] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:53] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:54] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:55] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:56] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:35:57] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:37] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:38] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:38] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:38] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:39] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:39] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:48] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:49] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:49] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:50] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:50] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:51] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:51] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:52] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:52] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=SCANNING
[2026-05-25 15:37:53] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:54] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:54] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:55] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:56] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:57] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:58] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:37:59] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:38:00] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:38:01] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
[2026-05-25 15:38:02] SOURCE=ESP32-CAM | TYPE=LAPTOP_CAM | RESULT=UNKNOWN
